image_size,block_size,comp_time
1024,8,12395
1024,8,12468
1024,8,12414
1024,8,12234
1024,8,12409
1024,8,12395
1024,8,12502
1024,8,12322
1024,8,12271
1024,8,12519
1024,8,12254
1024,8,12139
1024,8,12248
1024,8,12358
1024,8,12303
1024,8,12385
1024,8,13267
1024,8,13605
1024,8,12662
1024,8,12350
1024,8,12344
1024,8,12343
1024,8,12274
1024,8,12319
1024,8,12359
1024,8,12171
1024,8,12714
1024,8,13861
1024,8,12448
1024,8,12769
1024,16,12606
1024,16,13669
1024,16,12811
1024,16,12580
1024,16,12514
1024,16,12586
1024,16,12517
1024,16,12591
1024,16,12558
1024,16,12835
1024,16,12721
1024,16,13625
1024,16,12654
1024,16,12807
1024,16,12675
1024,16,12693
1024,16,12693
1024,16,12778
1024,16,12736
1024,16,12645
1024,16,12658
1024,16,12547
1024,16,12598
1024,16,12546
1024,16,12754
1024,16,12502
1024,16,12490
1024,16,12624
1024,16,12859
1024,16,12500
1024,32,12955
1024,32,13167
1024,32,13190
1024,32,13166
1024,32,14144
1024,32,13238
1024,32,13080
1024,32,14197
1024,32,13158
1024,32,13186
1024,32,13177
1024,32,13052
1024,32,13034
1024,32,13482
1024,32,13208
1024,32,12934
1024,32,13100
1024,32,13107
1024,32,13158
1024,32,13055
1024,32,13055
1024,32,13072
1024,32,13102
1024,32,13219
1024,32,12986
1024,32,12944
1024,32,13025
1024,32,13026
1024,32,13025
1024,32,13010
2048,8,50452
2048,8,50305
2048,8,50173
2048,8,49932
2048,8,50231
2048,8,49048
2048,8,49157
2048,8,48984
2048,8,50439
2048,8,48851
2048,8,48488
2048,8,48676
2048,8,48086
2048,8,48499
2048,8,48665
2048,8,48296
2048,8,48024
2048,8,48255
2048,8,48965
2048,8,49070
2048,8,48295
2048,8,48463
2048,8,48086
2048,8,48435
2048,8,48305
2048,8,48445
2048,8,48490
2048,8,48649
2048,8,48524
2048,8,50105
2048,16,49490
2048,16,49045
2048,16,49379
2048,16,49187
2048,16,49349
2048,16,49290
2048,16,49301
2048,16,49226
2048,16,49616
2048,16,51507
2048,16,49600
2048,16,49335
2048,16,49320
2048,16,49226
2048,16,49841
2048,16,49305
2048,16,49151
2048,16,49404
2048,16,49187
2048,16,49383
2048,16,49289
2048,16,49577
2048,16,49230
2048,16,52669
2048,16,50894
2048,16,49516
2048,16,48940
2048,16,49573
2048,16,50668
2048,16,50469
2048,32,50585
2048,32,50443
2048,32,52821
2048,32,51013
2048,32,50930
2048,32,50702
2048,32,50319
2048,32,50569
2048,32,50674
2048,32,50662
2048,32,50985
2048,32,50835
2048,32,50418
2048,32,50477
2048,32,50666
2048,32,50509
2048,32,50836
2048,32,50471
2048,32,50452
2048,32,51153
2048,32,50438
2048,32,50568
2048,32,50767
2048,32,50437
2048,32,50541
2048,32,50549
2048,32,50901
2048,32,50411
2048,32,50896
2048,32,50524
4096,8,201057
4096,8,200291
4096,8,201326
4096,8,202121
4096,8,202796
4096,8,209633
4096,8,202095
4096,8,202297
4096,8,203844
4096,8,200604
4096,8,200943
4096,8,200185
4096,8,200765
4096,8,201940
4096,8,202459
4096,8,201318
4096,8,201560
4096,8,200887
4096,8,205337
4096,8,204299
4096,8,204124
4096,8,200929
4096,8,200822
4096,8,201666
4096,8,201711
4096,8,200376
4096,8,200489
4096,8,201895
4096,8,201309
4096,8,203662
4096,16,204488
4096,16,205136
4096,16,202706
4096,16,203355
4096,16,203896
4096,16,205737
4096,16,204676
4096,16,204876
4096,16,208542
4096,16,207454
4096,16,206507
4096,16,205611
4096,16,204486
4096,16,204342
4096,16,203965
4096,16,203815
4096,16,204804
4096,16,203479
4096,16,205264
4096,16,207602
4096,16,205561
4096,16,204543
4096,16,204413
4096,16,203796
4096,16,204998
4096,16,205523
4096,16,205170
4096,16,204514
4096,16,202389
4096,16,203582
4096,32,207983
4096,32,207179
4096,32,208022
4096,32,207561
4096,32,209528
4096,32,207988
4096,32,208188
4096,32,209774
4096,32,210638
4096,32,210336
4096,32,211326
4096,32,209473
4096,32,207799
4096,32,210565
4096,32,209514
4096,32,209186
4096,32,210070
4096,32,209162
4096,32,208932
4096,32,209472
4096,32,209117
4096,32,209174
4096,32,208358
4096,32,209813
4096,32,209423
4096,32,207674
4096,32,208572
4096,32,208558
4096,32,208462
4096,32,207792
7680,8,750101
7680,8,746063
7680,8,749050
7680,8,750942
7680,8,746908
7680,8,743846
7680,8,752438
7680,8,753455
7680,8,750921
7680,8,751198
7680,8,753277
7680,8,752887
7680,8,752686
7680,8,749635
7680,8,746303
7680,8,750087
7680,8,752905
7680,8,754695
7680,8,746753
7680,8,743770
7680,8,750756
7680,8,742647
7680,8,747440
7680,8,754354
7680,8,755180
7680,8,746648
7680,8,745662
7680,8,751954
7680,8,745396
7680,8,750558
7680,16,747541
7680,16,740103
7680,16,738348
7680,16,746150
7680,16,745974
7680,16,755286
7680,16,739760
7680,16,738229
7680,16,742332
7680,16,742547
7680,16,743140
7680,16,758664
7680,16,743345
7680,16,741926
7680,16,741320
7680,16,742534
7680,16,750942
7680,16,748955
7680,16,745424
7680,16,750491
7680,16,741314
7680,16,748019
7680,16,758636
7680,16,742371
7680,16,747712
7680,16,745418
7680,16,744675
7680,16,741389
7680,16,739558
7680,16,740892
7680,32,756398
7680,32,757989
7680,32,755598
7680,32,760897
7680,32,758815
